,nr_lambdas_ridge,nr_lambdas_lasso,min_lambda,max_lambda,k,datapoints,n_bootstrap,n_bootstraps_lasso,mindeg,maxdeg,lasso_tol,lasso_iterations,MSEkfoldRIDGE,MSEkfoldLASSO,MSEkfoldOLS,ideal_lambda_LASSO,ideal_lambda_RIDGE
0,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,84847.48511158073,84849.2594845053,84841.71560170797,0.001,1e-30
1,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,55511.54092833227,55519.65290399701,55522.10257965429,0.001,4.6415888336127915e-14
2,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,39946.95243377403,52000.566708669976,39958.190695341065,0.001,5.6234132519034904e-12
3,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,39357.57800385106,50198.2972944835,39353.55150871775,0.001,1.2115276586285852e-28
4,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,31693.566331319016,49502.21726500988,31686.211775275973,0.001,1.4677992676220735e-26
5,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,29984.056222602434,48307.8076976538,29962.622007752536,0.001,4.6415888336127915e-14
6,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,28857.683443174967,47918.44463356268,28862.92737038807,0.001,5.6234132519034904e-12
7,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,28211.27443598755,47825.485607741066,28216.98183124906,0.001,4.21696503428584e-15
8,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,27203.00140911464,47833.55337544813,27219.561207181723,0.001,6.189658188912623e-11
9,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,26071.068458490416,47838.28147411007,26056.28648517638,0.001,3.4807005884284203e-17
10,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,24710.4084077603,47826.44105511411,24718.40765160969,0.001,2.3713737056616552e-21
11,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,24142.459971952794,47785.99038810446,24167.65936726472,0.001,4.21696503428584e-15
12,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,23298.692930721474,47719.87926424722,23320.163300339133,0.001,2.8729848333536804e-19
13,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,22931.61196139817,47627.478808433836,22921.636044253824,0.001,1.2115276586285852e-28
14,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,22203.89107341685,47529.018557610514,22196.170148036286,0.001,1.778279410038923e-24
15,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,21452.95547765842,47424.669181720106,21462.116742128554,0.001,2.3713737056616552e-21
16,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,20710.653635311246,47335.457374740174,20736.79590413509,0.001,2.3713737056616552e-21
17,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,20087.120004836153,47248.06929466823,20081.380909927808,0.001,1.2115276586285852e-28
18,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,19643.1488819613,47182.37086980345,19639.16116631056,0.001,1.778279410038923e-24
19,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,19126.1112244577,47118.37477313485,19138.844473997502,0.001,1.778279410038923e-24
20,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,18528.7194759177,47069.63147224607,18635.06108247096,0.001,1.6155980984398827e-25
21,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,18093.199427128053,47013.92511476845,18129.706976430865,0.001,1.6155980984398827e-25
22,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,17906.252631065767,46986.210359947836,18114.417792832926,0.001,1.778279410038923e-24
23,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,17633.54186378688,46947.74903538941,26068.954142450493,0.001,1.6155980984398827e-25
24,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,17530.082886681554,46918.96442051408,24132.69090449909,0.001,1.778279410038923e-24
25,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,17295.746522535683,46896.207439971666,54707.078587589436,0.001,1.778279410038923e-24
26,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,17215.73025603875,46879.42354378336,47584.69749290659,0.001,1.778279410038923e-24
27,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,17146.344455514576,46844.099821156226,37063.02259296067,0.001,1.778279410038923e-24
28,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,17060.274703481457,46825.80081788681,41756.03523727353,0.001,1.778279410038923e-24
29,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16876.747862479002,46799.924891573326,84791.94580227611,0.001,1.778279410038923e-24
30,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16969.75490651069,46781.62977621461,75045.6793952528,0.001,1.9573417814876657e-23
31,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16806.121621715865,46756.74575080122,38737.00581299745,0.001,1.9573417814876657e-23
32,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16775.226665835136,46725.34593225324,59678.16349517665,0.001,1.9573417814876657e-23
33,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16668.72985045061,46697.91443182326,63090.55026112658,0.001,1.9573417814876657e-23
34,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16619.91544558083,46677.14238403504,38177.07710675862,0.001,1.9573417814876657e-23
35,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16582.836489711153,46644.90837972089,18960.076954844357,0.001,1.9573417814876657e-23
36,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16679.266298472918,46619.04980140836,24505.755748241594,0.001,2.1544346900318956e-22
37,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16508.989984174514,46592.608762020696,27320.790861079528,0.001,1.9573417814876657e-23
38,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16458.823546454823,46560.83346960336,25082.05902639914,0.001,1.9573417814876657e-23
39,25,3,-30,-5,5,50000,1000,12,1,40,0.3,100.0,16436.94044104985,46531.493040793735,28706.25933267984,0.001,1.9573417814876657e-23
