,nr_lambdas,min_lambda,max_lambda,sigma,k,datapoints,n_bootstrap,n_bootstraps_lasso,R2_lasso,R2_ridge,R2_OLS,MSEBOOTRIDGE,MSEBOOTLASSO,MSEkfoldRIDGE
0,5,-5,100,0.05,5,500,1000,1000,0.6876482255811449,0.6878773040955283,0.6878808391303958,0.024924754677749274,0.024494424669063354,0.024493162698513017
1,5,-5,100,0.05,5,500,1000,1000,0.7718705990161092,0.7723641800358835,0.77238377673748,0.01771431538521937,0.01782431518568966,0.0177669668540215
2,5,-5,100,0.05,5,500,1000,1000,0.87408873342669,0.8783931681195427,0.8783936566070081,0.010019876676318085,0.010102481348394365,0.010058549854087826
3,5,-5,100,0.05,5,500,1000,1000,0.8987703152502694,0.9009799457729218,0.8995253280270069,0.006599996480507714,0.006630125138226128,0.00661090227730614
4,5,-5,100,0.05,5,500,1000,1000,0.908146411601531,0.9467704152920796,0.9468258184216929,0.004870075424434406,0.006880598431501318,0.004905950664898514
5,5,-5,100,0.05,5,500,1000,1000,0.9077980184305494,0.9089605407726021,0.8928533855279444,0.006248009954749735,0.006444662204394389,0.0042082558881316266
6,5,-5,100,0.05,5,500,1000,1000,0.9171967047229548,0.9526260215626015,0.9582795220589737,0.0032232352928698487,0.005805815931898959,0.003735285669928325
7,5,-5,100,0.05,5,500,1000,1000,0.9190220879041872,0.9473842776398884,0.9465609523397511,0.003238298493701896,0.00570630672003631,0.004503552994349841
8,5,-5,100,0.05,5,500,1000,1000,0.9269604701281429,0.947782485386158,0.8533324607339087,0.003514833678257593,0.005549328484978316,0.003181826383171737
9,5,-5,100,0.05,5,500,1000,1000,0.9366932278701406,0.9484823585360393,0.8475301022411186,0.005955328456183353,0.005565170647191839,0.003364202896356457
10,5,-5,100,0.05,5,500,1000,1000,0.9127423505821242,0.9530940074280579,0.8144575734878545,0.005421709165370163,0.005589037735970273,0.0032902639260518687
11,5,-5,100,0.05,5,500,1000,1000,0.921586345849404,0.94107587966875,0.11616284936813094,0.005116185483195683,0.005633238398357482,0.0034237828137728605
