,nr_lambdas,min_lambda,max_lambda,k,datapoints,n_bootstrap,n_bootstraps_lasso,R2_lasso,R2_ridge,R2_OLS,MSEBOOTRIDGE,MSEBOOTLASSO,MSEkfoldRIDGE
0,9,-9,36,5,5000,20,20,0.021081419438872817,0.020342518035103084,0.020342508214872053,83581.32480678338,83701.51829778061,83628.03271615734
1,9,-9,36,5,5000,20,20,0.22079499826364457,0.31043362767052224,0.3104336276623297,55710.27475211478,66281.79243532316,55701.53464123054
2,9,-9,36,5,5000,20,20,0.34887815199206595,0.5091365642373157,0.5091365641052703,40193.89728961524,55226.96094922555,40315.19993278921
3,9,-9,36,5,5000,20,20,0.3862708071428441,0.5347042720269346,0.5347015248035402,39559.711797527874,52689.278932961286,39591.410602354765
4,9,-9,36,5,5000,20,20,0.4128717348185354,0.6262680726953573,0.6262671065638248,31842.373204931053,49746.95867453572,31749.43784771167
5,9,-9,36,5,5000,20,20,0.4157501608156103,0.6658414326384803,0.6658414358060369,30077.916099955764,48540.58568890796,30110.653620315767
6,9,-9,36,5,5000,20,20,0.40063802980737456,0.6333253704409156,0.6333124551514192,29236.065688640305,48086.4005068649,29011.75678216159
7,9,-9,36,5,5000,20,20,0.4343120887269665,0.6574070037652977,0.6568774485066476,28398.951018878684,48055.57630472588,28601.650859323086
8,9,-9,36,5,5000,20,20,0.42669069914093494,0.6635937222991836,0.6633968468121242,27372.541782079767,48072.87442179279,27525.827962052346
9,9,-9,36,5,5000,20,20,0.41797292023905913,0.6859994537296649,0.6875662969471407,26741.817214809067,48068.81178813756,26424.597899425862
10,9,-9,36,5,5000,20,20,0.43349567047184556,0.7001539845955198,0.7028917636184028,24693.820843745263,48065.55920171049,25935.220330573495
11,9,-9,36,5,5000,20,20,0.46979150355245425,0.715221828837129,0.7253430428644094,24531.930977225456,48027.58062058592,25251.39110072559
12,9,-9,36,5,5000,20,20,0.41375232386428284,0.6916602616196116,0.715246189264485,23519.562405035882,47903.45966144469,25187.18035904707
13,9,-9,36,5,5000,20,20,0.42251643695494506,0.7076566631223693,0.7186214047470547,23329.44096604932,47846.11780153683,24791.4875157438
14,9,-9,36,5,5000,20,20,0.44416421164074604,0.7018278180387796,0.6871154288266468,23131.169347492967,47769.85558024966,24777.981325203447
15,9,-9,36,5,5000,20,20,0.4192230439963772,0.6978041323902899,0.6721272248064059,23589.004476707312,47652.02189232557,24520.24871541866
16,9,-9,36,5,5000,20,20,0.4346232942370473,0.7110423299696679,0.718211990634242,22622.14534166018,47511.65333146107,23968.011811588134
17,9,-9,36,5,5000,20,20,0.4517650162082764,0.7005484636878392,0.6513950521300936,21222.255267890898,47464.70861046988,23919.600570665087
18,9,-9,36,5,5000,20,20,0.44870478999263136,0.7099626969339601,0.7256763595895194,21037.786468182672,47521.589447129685,24170.173197257645
19,9,-9,36,5,5000,20,20,0.4337764606765156,0.70354496290896,0.5621402677019739,20779.551850173062,47287.313312725855,23937.174691746673
20,9,-9,36,5,5000,20,20,0.44663759526626806,0.7090434750419842,0.6507461998784837,22514.046228558527,47237.35875709572,23889.09650863906
21,9,-9,36,5,5000,20,20,0.4632195684169139,0.7182677825576868,0.522131425659326,23388.039668252328,47225.489109505164,23625.79154654299
22,9,-9,36,5,5000,20,20,0.42088313760473733,0.6349443980875022,-41.91529550761253,33119.692658129796,47280.632229790644,23576.34198759334
23,9,-9,36,5,5000,20,20,0.46112681223789126,0.7400955779425848,0.5461827339574624,31552.479961991874,47177.232538040975,23485.98153932205
24,9,-9,36,5,5000,20,20,0.4595483095594397,0.7154429649821494,0.023624250533434366,52199.660004830825,47169.168697416884,23501.699625689016
