,polynomial degree,OLS Max std. dev.,OLS_beta_max,OLS_beta_min,Ridge Max std. dev. (lambda = 0.01),Ridge_beta_max(lambda = 0.01),Ridge Max std. dev. (lambda = 1),Ridge_beta_max(lambda = 1)
0,1,2.96,40.69,28.71,2.96,28.71,2.96,28.71
1,2,10.41,374.11,-284.45,10.41,-284.45,10.41,-284.3
2,3,51.06,1101.82,-1147.4,51.06,-1147.11,50.41,-1119.41
3,4,251.0,1809.77,-962.73,250.1,-961.45,191.69,-870.97
4,5,1059.62,13637.39,-13483.22,964.18,-12717.66,251.15,-3791.6
5,6,5677.43,39585.83,-54438.67,2187.83,-12092.53,267.11,-3140.09
6,7,28983.87,185763.54,-248494.72,2337.91,-9244.9,284.75,-2449.97
7,8,145607.77,360454.0,-300615.13,2478.54,-12563.47,303.47,-1965.09
8,9,779739.76,2440303.69,-2383643.6,2662.42,-14362.03,309.86,-1892.48
9,10,4173574.31,17394190.99,-21290178.96,2783.16,-11418.38,311.4,-1840.07
10,11,20862948.78,227198126.5,-221456804.38,2875.16,-9997.17,312.7,-1726.57
11,12,104920301.05,819501381.01,-822835011.39,2962.09,-9302.46,317.68,-1487.89
12,13,48856235.86,2015383245.19,-1794834487.91,2988.45,-7894.04,317.07,-1340.77
13,14,25289888.35,11342558204.07,-12439808831.79,3008.01,-5965.84,317.74,-1214.85
14,15,70398129.73,81857771455.98,-86788376204.73,3056.87,-5548.72,321.5,-1148.76
