,PCA_values,test_errors,train_errors
0,1,179.01800966442502,179.01796937185156
1,2,179.22221690047164,179.18080808508557
2,3,155.78794437987364,155.7149023866144
3,4,155.7644573860736,155.6867689148005
4,5,149.596829871532,149.58201709680833
5,6,137.3828307009216,137.1561673521055
6,7,137.07047788643075,136.78893970269064
7,8,135.62399563917296,135.28830352365088
8,9,134.5621251090796,134.37641820408106
9,10,133.29848592186983,133.05178967070736
10,11,133.23510598366823,133.002122706883
11,12,133.23027316239526,132.99291980019294
12,13,132.83709873122507,132.5697080497557
13,14,131.39741457697613,131.0990747466579
14,15,131.27762952553377,130.96758564599378
15,16,128.5969217887373,128.28471427513404
16,17,128.0524814651491,127.76279238558898
17,18,120.85203451162809,120.66899734440472
18,19,120.60879085149891,120.37386631739768
19,20,120.3852393001791,120.10700299748518
20,21,119.50071139157441,119.27270826489112
21,22,119.10046782362645,118.8019296863159
22,23,118.74394005286902,118.38162057284697
23,24,115.17917248403742,114.74239976311284
24,25,113.2141861182035,112.77495529791588
25,26,109.9853410681678,109.59087290091347
26,27,109.53504852270575,109.05670265099525
27,28,109.18290631178607,108.75254078323076
